
Name		 Rang	 Platz	 Koord	 Beitritt	 Online	 Funktion
Wrong Destiny		 Imperator	 848	[1:50:6]	 28.06.2014	 29 Min.	
Starchild		 Imperator	 967	[1:28:7]	 27.06.2014	 On	
Trykonosis		 Neuling	 1017	[1:324:10]	 06.07.2014	 On	
KrueMelChen		 Imperator	 1151	[2:23:4]	 27.06.2014	 Off	
Zylon		 Probezeit	 1532	[3:113:4]	 02.07.2014	 1t	

W4R_MaChINE		 Gründer	 74	[1:116:4]	 27.06.2014	 On	
Mursana		 Imperator	 84	[1:222:6]	 27.06.2014	 Off	
baal the dark		 Imperator	 101	[2:31:6]	 27.06.2014	 Off	
dywk		 Imperator	 145	[8:130:12]	 27.06.2014	 On	
SuaveTheDon		 -XO-	 147	[9:463:4]	 27.06.2014	 Off	
pArmEsAnEXpErtE		 Imperator	 151	[1:421:9]	 27.06.2014	 On	
trendsetter		 Probezeit	 172	[3:114:6]	 01.07.2014	 On	
varus		 Imperator	 332	[3:250:8]	 27.06.2014	 27 Min.	
Blesur		 Probezeit	 373	[2:105:8]	 04.07.2014	 On	
Gajeel		 Probezeit	 414	[2:100:5]	 05.07.2014	 Off	
ARMAGEDON		 Imperator	 458	[1:345:6]	 27.06.2014	 Off	
reb0RN		 Imperator	 469	[8:129:9]	 27.06.2014	 Off	
blindi		 Probezeit	 537	[1:363:6]	 03.07.2014	 Off	
Killsort		 Probezeit	 567	[1:82:12]	 02.07.2014	 Off	
g4f		 Imperator	 593	[1:272:4]	 27.06.2014	 On	
smokingz		 Imperator	 647	[1:376:4]	 27.06.2014	 Off	
Steveboo		 Probezeit	 669	[2:373:4]	 01.07.2014	 On	
Philanthrop		 Probezeit	 741	[1:363:4]	 03.07.2014	 Off	
blacklord999		 Imperator	 743	[2:20:10]	 27.06.2014	 3t	
Wrong Destiny		 Imperator	 829	[1:50:6]	 28.06.2014	 On	
tomek		 Probezeit	 898	[2:181:6]	 05.07.2014	 Off	
Trykonosis		 Probezeit	 968	[1:324:10]	 06.07.2014	 Off	
